Gene,Status,Pathways_Found
CYP8B1,Mapped,20
ACKR2,Mapped,20
HHATL,Unmapped,0
SLCO1B3,Mapped,20
IVD,Mapped,20
KNSTRN,Unmapped,0
C15orf52,Unmapped,0
PLCB2,Mapped,20
RPAP1,Unmapped,0
C15orf57,Unmapped,0
UGT1A7,Mapped,20
ZNF334,Mapped,3
PIEZO1,Mapped,6
RP11-356C4.5,Unmapped,0
VPS9D1,Unmapped,0
FAM157C,Unmapped,0
DPEP1,Mapped,20
CPNE7,Mapped,20
RP11-159J3.1,Unmapped,0
XDH,Mapped,20
ZNF837,Unmapped,0
RP5-1112D6.4,Unmapped,0
RP11-498D10.6,Unmapped,0
ATXN1L,Unmapped,0
IST1,Mapped,20
AP1G1,Mapped,20
PHLPP2,Mapped,20
CDA,Mapped,20
PINK1,Mapped,20
MUL1,Mapped,20
ECE1,Mapped,20
FAM43B,Unmapped,0
DPP3,Mapped,7
PELI3,Mapped,20
PPP1CA,Mapped,20
SLC35C2,Unmapped,0
RP1-97J1.2,Unmapped,0
EIF4G3,Mapped,20
